question,topic,answer
Q01,Data overview,"400,000 events across 200 ads and 9,841 user records"
Q02,Advertising funnel,"40,079 clicks and 2,031 purchases from 339,812 impressions"
Q03,Platform reach,Facebook generated more impressions
Q04,Platform click-through rate,Instagram had the higher CTR at 11.86%
Q05,Platform purchase rate,Facebook had the higher click-to-purchase rate at 5.21%
Q06,Ad format reach,Stories received the most impressions
Q07,Ad format CTR,Video had the highest CTR at 11.90%
Q08,Ad format purchase rate,Stories had the highest click-to-purchase rate at 5.34%
Q09,Target gender,All targeting had the higher click-to-purchase rate at 5.19%
Q10,Target age group,18-24 had the highest click-to-purchase rate at 5.36%
Q11,Time of day,Morning had the highest click-to-purchase rate at 5.28%
Q12,Day of week,Thursday had the highest click-to-purchase rate at 5.58%
Q13,Country performance,Japan had the highest purchase rate among countries with at least 100 clicks: 6.25%
Q14,Campaign activity,Campaign_42_Summer generated the most events per budget dollar in this dataset
Q15,Weekly activity,"The busiest week began 2025-07-27 with 30,936 events"
